prices,market_caps,total_volumes,id_coin,date
11385.06,202244103401.21423,37061858272.52717,bitcoin,2019-07-12
11804.563,210058300503.64526,30078548879.930676,bitcoin,2019-07-13
11418.512,202979011731.3034,28485045772.443813,bitcoin,2019-07-14
10285.461,183265698057.30487,29857566850.991676,bitcoin,2019-07-15
10911.345,195225460386.1362,37553147017.32781,bitcoin,2019-07-16
9538.827,170100385848.08353,34409824868.73926,bitcoin,2019-07-17
9657.303,172236725014.4112,33328381504.616615,bitcoin,2019-07-18
10636.156,189588944050.24216,34034952895.23173,bitcoin,2019-07-19
10536.566,187718958960.57816,28858600367.989872,bitcoin,2019-07-20
10774.281,190839615019.19455,26163874235.136333,bitcoin,2019-07-21
10607.464,189302289398.0001,22814710058.302956,bitcoin,2019-07-22
10343.318,184582963699.30176,21903683695.255173,bitcoin,2019-07-23
9936.381,177060329754.31393,22986552398.152935,bitcoin,2019-07-24
9799.306,175298806837.89883,33861034798.8304,bitcoin,2019-07-25
9878.232,176569486287.9306,21622492404.321915,bitcoin,2019-07-26
9845.999,175634298896.93475,19942172080.922203,bitcoin,2019-07-27
9447.678,168472890623.8368,21257664351.47119,bitcoin,2019-07-28
9534.755,170325673262.38525,18649152592.721436,bitcoin,2019-07-29
9510.594,169247002246.27844,18424113909.504322,bitcoin,2019-07-30
9568.437,170790961770.58182,20138691741.084114,bitcoin,2019-07-31
10062.996,179525433372.0441,22957330875.71389,bitcoin,2019-08-01
10361.312,185025579624.96027,23668036460.12257,bitcoin,2019-08-02
10529.172,187993708173.329,24128945574.578556,bitcoin,2019-08-03
10791.201,192658484290.18,22296222952.509827,bitcoin,2019-08-04
10951.594,195575205441.64883,23160251364.75935,bitcoin,2019-08-05
11818.526,210831100251.74985,30944497414.37189,bitcoin,2019-08-06
11510.164,204493918413.86813,31588470767.84309,bitcoin,2019-08-07
11970.658,213446022648.57455,30083670251.80272,bitcoin,2019-08-08
12024.332,214023992147.5213,26678574728.135372,bitcoin,2019-08-09
11852.562,211775940827.03262,26240065034.99351,bitcoin,2019-08-10
11327.843,202567916483.04468,24949094386.512787,bitcoin,2019-08-11
11549.998,206323428608.19785,23042219585.47862,bitcoin,2019-08-12
11381.241,203438784510.78018,19933740545.556496,bitcoin,2019-08-13
10903.655,194716791550.1683,22886684527.86748,bitcoin,2019-08-14
10016.217,178691691521.25024,26620934497.854107,bitcoin,2019-08-15
10295.877,183808182261.62988,31003755661.55879,bitcoin,2019-08-16
10324.994,184635409004.2465,28168163140.752064,bitcoin,2019-08-17
10224.219,182893178091.06567,20998246406.662758,bitcoin,2019-08-18
10309.872,184381498343.8289,19708814223.24016,bitcoin,2019-08-19
10895.972,194884121164.64297,22097997941.55373,bitcoin,2019-08-20
10743.789,192182485883.75177,19460170323.014637,bitcoin,2019-08-21
10124.058,181094936743.7679,22757336326.19253,bitcoin,2019-08-22
10127.79,181311699889.67206,20144228964.473103,bitcoin,2019-08-23
10385.509,187878412535.86255,18313019852.750786,bitcoin,2019-08-24
10145.012,181764456091.20227,21187546608.001797,bitcoin,2019-08-25
10090.062,180491202154.3331,17899166778.010113,bitcoin,2019-08-26
10334.912,184989701185.5528,23392461462.60586,bitcoin,2019-08-27
10167.889,181891056658.03235,20937236587.026714,bitcoin,2019-08-28
9753.487,174174790993.24042,22948105441.570866,bitcoin,2019-08-29
9485.141,169825879929.63724,20461661030.393738,bitcoin,2019-08-30
9588.988,171703455568.1713,16388578393.607964,bitcoin,2019-08-31
9607.289,172069023390.1022,15364904438.864746,bitcoin,2019-09-01
9729.266,174169160998.9338,15003447441.307947,bitcoin,2019-09-02
10323.023,184367332385.84335,20258697359.12371,bitcoin,2019-09-03
10620.165,190297653628.6036,23588848898.316532,bitcoin,2019-09-04
10573.515,189378108188.9303,21198071664.662186,bitcoin,2019-09-05
10570.25,189354988380.25543,18952591605.050835,bitcoin,2019-09-06
10350.748,185513074361.89188,23555216964.15641,bitcoin,2019-09-07
10461.548,187490153206.3296,18658457493.748917,bitcoin,2019-09-08
10404.334,186487925900.29575,16804085431.159666,bitcoin,2019-09-09
10321.932,185101736449.4789,21012460993.656765,bitcoin,2019-09-10
10121.102,181228983504.8709,17425806760.661724,bitcoin,2019-09-11
10150.71,182006412816.34204,19989784060.802094,bitcoin,2019-09-12
10401.32,186490286819.08597,17986804176.941467,bitcoin,2019-09-13
10355.627,185791118116.52597,16650634275.92447,bitcoin,2019-09-14
10349.552,185709926005.05557,16529697331.07751,bitcoin,2019-09-15
10305.675,184860740267.84445,13781855194.274492,bitcoin,2019-09-16
10268.422,184216635305.296,17580630287.953926,bitcoin,2019-09-17
10203.071,183148194810.27164,17279102873.152096,bitcoin,2019-09-18
10158.855,182304851001.81525,18848349197.54596,bitcoin,2019-09-19
10253.232,183793185092.94284,23532550737.76059,bitcoin,2019-09-20
10178.443,182621118150.38165,17281137871.79277,bitcoin,2019-09-21
9997.2,179541584400.57428,15973816316.06345,bitcoin,2019-09-22
10041.304,180261864537.87436,16268084726.893106,bitcoin,2019-09-23
9699.505,174073117682.94675,17797331461.86323,bitcoin,2019-09-24
8702.714,158225996381.2368,27762368999.148655,bitcoin,2019-09-25
8446.244,151968918856.4794,25000732108.2125,bitcoin,2019-09-26
8098.81,145450672156.79562,22627889543.82238,bitcoin,2019-09-27
8183.482,147034755881.78366,19755414533.472134,bitcoin,2019-09-28
8225.11,147518938470.12482,17936691398.41125,bitcoin,2019-09-29
8064.381,144886125387.55658,16673592219.88411,bitcoin,2019-09-30
8271.291,148699326425.13895,21681424234.680668,bitcoin,2019-10-01
8366.504,150346803070.61414,17832872037.116558,bitcoin,2019-10-02
8350.132,150093691781.89334,17676173879.14879,bitcoin,2019-10-03
8176.355,146959035399.77228,17383555314.276905,bitcoin,2019-10-04
8156.52,146603545122.07248,16931274118.12778,bitcoin,2019-10-05
